ItemID	Title	Authors	Year
854	Hard Times	Dickens, Charles	1854
855	Nights		
856	The Eternal Husband and Other Stories	Dostoyevsky, Fyodor (Фёдор Михайлович Достоевский)	1917
857	Psychoanalysis and the Unconscious	Lawrence, D. H. (David Herbert)	1921
858	Mendel: A Story of Youth	Cannan, Gilbert	1921
859	Memoirs of My Dead Life	Moore, George	1906
860	Old Delabole	Phillpotts, Eden	1915
861	Books and Characters, French and English	Strachey, Giles Lytton	1922
862	A Short History of France	Duclaux, Mary	1917
863	Women of the French Revolution	Stephens, Winifred	1922
864	Notes on Life and Letters	Conrad, Joseph	1921
865	Plays	Symons, Arthur	
866	Hunger	Hamsun, Knut	1899
867	Dombey and Son	Dickens, Charles	1848
868	Guest the One-Eyed	Gunnarsson, Gunnar	1920
869	Kanga Creek: An Australian Idyll	Ellis, Havelock	1923
870	The Ordeal of Mark Twain	Brooks, Van Wyck	1920
871	Music and Life: A Study of the Relations Between Ourselves and Music	Surette, Thomas Whitney	1917
872	Stories in Grey	Pain, Barry	1911
873	Views and Vagabonds	Macaulay, Rose	1912
874	Lillian	Bennett, Arnold	1922
875	Letters of Anton Chekhov to his Family and Friends, with Biographical Sketch	Chekhov, Anton Pavlovich	1920
876	Swann's Way (À la recherche du temps perdu 1)	Proust, Marcel	1922
877	The Nietzsche-Wagner Correspondence	Nietzsche, Friedrich;Wagner, Richard	1921
878	Ariosto, Shakespeare and Corneille	Croce, Benedetto	1921
879	Benedetto Croce: An Introduction to His Philosophy	Piccoli, Raffaello	1922
880	Hassan	Flecker, James Elroy	1922
881	The Amazing Quest of Mr. Ernest Bliss	Oppenheim, E. Phillips (Edward Phillips)	1919
882	The Adventures of Roderick Random	Smollett, Tobias	1748
883	A Study of Ben Jonson	Swinburne, Algernon Charles	1889
884	Mary Olivier: A Life	Sinclair, May	1919
885	The Mill on the Floss	Eliot, George (Mary Anne Evans)	1860
